Model,Corpus,MacroF1
LSTM,Combined,0.5653572523123966
LSTM,Combined,0.5852476961440933
LSTM,Combined,0.5389103740969992
LSTM,Combined,0.5594332401407669
LSTM,Combined,0.5691539602401806
LSTM,Combined,0.5987764321666866
LSTM,Combined,0.5772586431154958
LSTM,Combined,0.6087062952942981
LSTM,Combined,0.5535908190398747
LSTM,Combined,0.5836475266841546
LSTM,Combined,0.5623453503664992
LSTM,Combined,0.6279845271257668
LSTM,Combined,0.5768657464530592
LSTM,Combined,0.5793010290525736
LSTM,Combined,0.5950725504793503
LSTM,Combined,0.5707978405668093
LSTM,Combined,0.554348816421599
LSTM,Combined,0.5796587715127209
LSTM,Combined,0.5873832597701059
LSTM,Combined,0.5654688948254292
LSTM,Combined,0.5626377835224495
LSTM,Combined,0.5677153120589616
LSTM,Combined,0.5485691339379347
LSTM,Combined,0.5611925377102608
LSTM,Combined,0.563002329589103
LSTM,Combined,0.6086236143256815
LSTM,Combined,0.5576096809946758
LSTM,Combined,0.6151685718011203
LSTM,Combined,0.6012341088333713
LSTM,Combined,0.5656361105935407
LSTM,Combined,0.5852277671933136
LSTM,Combined,0.6054395383462721
LSTM,Combined,0.5712555715920206
LSTM,Combined,0.567556041931598
LSTM,Combined,0.5776614654518498
LSTM,Combined,0.5761072323462806
LSTM,Combined,0.5603744569198509
LSTM,Combined,0.5780776893176583
LSTM,Combined,0.5783773182439752
LSTM,Combined,0.5928330053683873
LSTM,Combined,0.5774420384827813
LSTM,Combined,0.5827981806116199
LSTM,Combined,0.5874156579175928
LSTM,Combined,0.5697252852318929
LSTM,Combined,0.5857823072694218
LSTM,Combined,0.5588440325226108
LSTM,Combined,0.6022087470642957
LSTM,Combined,0.5854901038541366
LSTM,Combined,0.5732825504741438
LSTM,Combined,0.5380741258487525
LSTM,Combined,0.5948164665793321
LSTM,Combined,0.5576816860036478
LSTM,Combined,0.5909684762769885
LSTM,Combined,0.574938455799991
LSTM,Combined,0.5635861501239134
LSTM,Combined,0.5694816086376063
LSTM,Combined,0.590432521604296
LSTM,Combined,0.6010039654113755
LSTM,Combined,0.5927617145383077
LSTM,Combined,0.5739126665418127
LSTM,Combined,0.5872150423378217
LSTM,Combined,0.5823770210810523
LSTM,Combined,0.5919369547850079
LSTM,Combined,0.5963300990747369
LSTM,Combined,0.5665563995733787
LSTM,Combined,0.5699421807718684
LSTM,Combined,0.5737274463957992
LSTM,Combined,0.5617714473309638
LSTM,Combined,0.606914668880239
LSTM,Combined,0.585363116351197
LSTM,Combined,0.5853145965584918
LSTM,Combined,0.5982034202902731
LSTM,Combined,0.5897491469464363
LSTM,Combined,0.5884793281472589
LSTM,Combined,0.5723031781206368
LSTM,Combined,0.5895775427950667
LSTM,Combined,0.5699391982889567
LSTM,Combined,0.5741604504565067
LSTM,Combined,0.5678973921822568
LSTM,Combined,0.5735935735475453
LSTM,Combined,0.6202246631918524
LSTM,Combined,0.5646626524801215
LSTM,Combined,0.5874229057684349
LSTM,Combined,0.5920088483471722
LSTM,Combined,0.5931095411413024
LSTM,Combined,0.5971971499685472
LSTM,Combined,0.5866578424713838
LSTM,Combined,0.5560602217863488
LSTM,Combined,0.5852583001138464
LSTM,Combined,0.5523882754128507
LSTM,Combined,0.5575897592525371
LSTM,Combined,0.5677582283987431
LSTM,Combined,0.5768988395972268
LSTM,Combined,0.5730240069614613
LSTM,Combined,0.5808955617041426
LSTM,Combined,0.5756997748312876
LSTM,Combined,0.5834602047026651
LSTM,Combined,0.5682678405048696
LSTM,Combined,0.5783896116011009
LSTM,Combined,0.5655744879418095
LSTM,Combined,0.5479165231755052
LSTM,Combined,0.5695342379529547
LSTM,Combined,0.5518914177219303
LSTM,Combined,0.5908783137348316
LSTM,Combined,0.5904871467725383
LSTM,Combined,0.591643133180101
LSTM,Combined,0.5921403066070406
LSTM,Combined,0.5687248959801745
LSTM,Combined,0.5794726517650884
LSTM,Combined,0.606343879568025
LSTM,Combined,0.5815787294502394
LSTM,Combined,0.5866723879032262
LSTM,Combined,0.5342583774785558
LSTM,Combined,0.585079664006894
LSTM,Combined,0.577609623614713
LSTM,Combined,0.5977135237607603
LSTM,Combined,0.5768259109088033
LSTM,Combined,0.605528613955028
LSTM,Combined,0.5823707875596561
LSTM,Combined,0.586049646808597
LSTM,Combined,0.5656309597687339
LSTM,Combined,0.5959944517077136
LSTM,Combined,0.5664627181727198
LSTM,Combined,0.5701690153624327
LSTM,Combined,0.5576173585237918
LSTM,Combined,0.5684027195852659
LSTM,Combined,0.5575992057241702
LSTM,Combined,0.5770547900590256
LSTM,Combined,0.5863960206950437
LSTM,Combined,0.5772065388517311
LSTM,Combined,0.6007407223200153
LSTM,Combined,0.5792394750180856
LSTM,Combined,0.5761878937822346
LSTM,Combined,0.5687403253139867
LSTM,Combined,0.5666581325313765
LSTM,Combined,0.5871130256366884
LSTM,Combined,0.6051142848988915
LSTM,Combined,0.5642015886383185
LSTM,Combined,0.5853439798697533
LSTM,Combined,0.5868367874801379
LSTM,Combined,0.5552353434781251
LSTM,Combined,0.5922374758610349
LSTM,Combined,0.5798070944110484
LSTM,Combined,0.5664001437735704
LSTM,Combined,0.5611537851094534
LSTM,Combined,0.5610085400541952
LSTM,Combined,0.5986003181895115
LSTM,Combined,0.5770687664058318
LSTM,Combined,0.567395088480093
LSTM,Combined,0.5807139487190538
LSTM,Combined,0.5540633764394758
LSTM,Combined,0.5999460078662405
LSTM,Combined,0.57236618359929
LSTM,Combined,0.553307112625698
LSTM,Combined,0.5794074288619294
LSTM,Combined,0.5602662997336679
LSTM,Combined,0.5545155923640909
LSTM,Combined,0.5633931162997273
LSTM,Combined,0.5949253769354987
LSTM,Combined,0.5706110416354068
LSTM,Combined,0.5854996731271477
LSTM,Combined,0.5709717503314354
LSTM,Combined,0.562692067604113
LSTM,Combined,0.5493320585131232
LSTM,Combined,0.5610282579048645
LSTM,Combined,0.5790751911233449
LSTM,Combined,0.5848502699372096
LSTM,Combined,0.5860385340904835
LSTM,Combined,0.58717284379647
LSTM,Combined,0.5719293275060671
